BUF,1,23,23,31,22,21,26,20,19,29,22,28,22,14,29,20,18
BUF,2,0.9,0.38,0.61,0.36,0.56,0.36,0.29,0.62,0.54,0.27,0.58,0.6,0.15,0.57,0.55,0.58
BUF,3,0,0.67,0.67,1,0,0.33,0,0,0,0,0,0,0,0,1,0
BUF,4,58,65,90,62,54,72,54,61,72,62,74,72,54,71,58,58
BUF,5,413,414,497,326,552,443,369,317,486,357,401,355,232,446,426,327
BUF,6,10,11,9,10,13,10,10,9,13,11,10,10,13,11,12,11
BUF,7,7.1,6.4,5.5,5.3,10.2,6.2,6.8,5.2,6.8,5.8,5.4,4.9,4.3,6.3,7.3,5.6
BUF,8,292,313,382,201,432,318,216,183,311,186,237,223,130,296,172,237
BUF,9,0.84,0.65,0.67,0.53,0.61,0.68,0.52,0.53,0.67,0.67,0.57,0.67,0.59,0.63,0.58,0.61
BUF,10,8.8,7.6,5.7,5.4,12,7.8,8,4.7,6.9,6.4,5.3,6.4,4.3,7,6.4,7.2
BUF,11,5,4,18,12,0,11,2,22,19,11,16,0,17,8,0,17
BUF,12,121,101,115,125,120,125,153,134,175,171,164,132,102,150,254,90
BUF,13,25,24,23,25,18,31,27,22,27,33,29,37,24,29,31,25
BUF,14,4.8,4.2,5,5,6.7,4,5.7,6.1,6.5,5.2,5.7,3.6,4.3,5.2,8.2,3.6
BUF,15,1,0.6,0.5,0.67,0.25,0.5,0.5,0.5,0.5,0.4,0.75,1,1,0.8,0.75,0.5
BUF,16,35,49,52,31,28,35,35,30,64,89,36,47,35,51,72,20
BUF,17,4,0,1,2,2,1,2,2,4,0,1,1,0,1,3,3
BUF,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUF,19,0.52,0.53,0.68,0.36,0.4,0.52,0.44,0.45,0.56,0.48,0.52,0.64,0.43,0.5,0.48,0.46
LAR,1,19,24,15,21,14,22,16,9,18,17,13,20,20,13,26,12,14
LAR,2,0.46,0.6,0.38,0.33,0.35,0.5,0.62,0.27,0.27,0.36,0.38,0.33,0.33,0.36,0.6,0.36,0.29
LAR,3,0.67,0,0,1,1,0,0,0,1,0.5,1,0.5,1,0,1,0,1
LAR,4,66,63,46,73,64,63,56,55,60,62,55,63,61,43,64,48,59
LAR,5,243,337,339,257,323,360,223,206,256,336,198,319,282,156,388,277,269
LAR,6,10,10,10,10,12,11,9,14,11,11,10,10,10,8,9,10,12
LAR,7,3.7,5.3,7.4,3.5,5,5.7,4,3.7,4.3,5.4,3.6,5.1,4.6,3.6,6.1,5.8,4.6
LAR,8,191,272,239,200,285,249,167,138,190,188,82,148,211,84,230,111,123
LAR,9,0.71,0.75,0.72,0.67,0.66,0.79,0.67,0.48,0.68,0.57,0.58,0.54,0.63,0.57,0.86,0.58,0.5
LAR,10,4,7.4,9.2,3.6,5.8,7.3,4.8,4.5,4.8,5.9,3,4.9,5.4,3.2,8.2,5,4
LAR,11,49,0,10,54,35,4,20,27,19,35,24,30,19,27,0,21,24
LAR,12,52,65,100,57,38,111,56,68,66,148,116,171,71,72,158,166,146
LAR,13,18,26,20,18,15,29,21,24,20,30,28,33,22,17,36,26,28
LAR,14,2.9,2.5,5,3.2,2.5,3.8,2.7,2.8,3.3,4.9,4.1,5.2,3.2,4.2,4.4,6.4,5.2
LAR,15,0.5,0.8,0.33,0,0,0.75,1,0,0.67,0.5,1,0.67,1,0.5,0.83,0,0.33
